Case #1: 190
7 8 355926
7 9 388837
7 10 504781
7 11 432480
7 12 437845
7 13 386352
7 14 479038
7 15 420055
7 16 360761
7 17 313748
7 18 351286
7 19 562843
7 20 270462
7 21 546396
7 22 705425
7 23 560287
7 24 430271
7 25 377880
7 26 436144
7 27 328862
7 28 237402
7 29 512526
7 30 179728
7 31 292360
7 32 397437
7 33 211800
7 34 449124
7 35 522739
7 36 448178
7 37 468809
7 38 492512
7 39 415837
7 40 242807
7 41 337549
7 42 631965
7 43 318918
7 44 461139
7 45 406735
7 46 360908
7 47 466042
8 9 290587
8 10 148855
8 11 259128
8 12 168644
8 13 160425
8 14 391759
8 15 154826
8 16 4835
8 17 310218
8 18 95727
8 19 481473
8 20 237919
8 21 373044
8 22 672882
8 23 304728
8 24 290638
8 25 303416
8 26 262792
8 27 305587
8 28 162938
8 29 405070
8 30 176198
8 31 288830
8 32 214415
8 33 252684
8 34 327122
8 35 257510
8 36 338836
8 37 370559
8 38 236953
8 39 322915
8 40 238474
8 41 299510
8 42 366098
8 43 145566
8 44 205580
8 45 202958
8 46 230945
8 47 237191
9 10 267328
9 11 276875
9 12 365905
9 13 291756
9 14 355264
9 15 135761
9 16 295422
9 17 262525
9 18 204530
9 19 438831
9 20 346722
9 21 303368
9 22 683517
9 23 401163
9 24 409111
9 25 177936
9 26 286033
9 27 277639
9 28 186179
9 29 422817
9 30 209109
9 31 321741
9 32 90288
9 33 275925
9 34 308057
9 35 227533
9 36 396955
9 37 79972
9 38 345756
9 39 303850
9 40 374377
9 41 408313
9 42 484571
9 43 168807
9 44 314383
9 45 386189
9 46 339748
9 47 268517
10 11 143497
10 12 317499
10 13 287562
10 14 419764
10 15 131567
10 16 153690
10 17 425310
10 18 200336
10 19 448544
10 20 342528
10 21 442768
10 22 606458
10 23 409337
10 24 141783
10 25 242436
10 26 311902
10 27 410196
10 28 311793
10 29 289439
10 30 325053
10 31 437685
10 32 335578
10 33 364177
10 34 207653
10 35 234251
10 36 443445
10 37 347300
10 38 204024
10 39 272213
10 40 370183
10 41 448365
10 42 217243
10 43 257059
10 44 310189
10 45 351813
10 46 335554
10 47 236803
11 12 408214
11 13 419553
11 14 276267
11 15 275064
11 16 254293
11 17 312180
11 18 234770
11 19 476503
11 20 274091
11 21 341040
11 22 462961
11 23 334534
11 24 285280
11 25 98939
11 26 230788
11 27 327294
11 28 239417
11 29 145942
11 30 297091
11 31 409723
11 32 192081
11 33 220680
11 34 351150
11 35 234582
11 36 477879
11 37 281851
11 38 347521
11 39 128716
11 40 301746
11 41 320919
11 42 360740
11 43 113562
11 44 344623
11 45 330944
11 46 260751
11 47 93306
12 13 132012
12 14 223115
12 15 288007
12 16 173479
12 17 392137
12 18 264371
12 19 480622
12 20 303212
12 21 345159
12 22 649547
12 23 473372
12 24 459282
12 25 400443
12 26 404734
12 27 407251
12 28 315791
12 29 476858
12 30 258117
12 31 359838
12 32 296334
12 33 405537
12 34 460303
12 35 390691
12 36 311604
12 37 285933
12 38 395927
12 39 448587
12 40 275557
12 41 468154
12 42 463126
12 43 314210
12 44 374224
12 45 371602
12 46 399589
12 47 314908
13 14 355127
13 15 155995
13 16 165260
13 17 393874
13 18 224764
13 19 514502
13 20 171200
13 21 379039
13 22 517535
13 23 433765
13 24 429345
13 25 403538
13 26 272722
13 27 378760
13 28 323363
13 29 455753
13 30 336623
13 31 227826
13 32 374840
13 33 408539
13 34 328291
13 35 258679
13 36 443267
13 37 371728
13 38 365990
13 39 316575
13 40 143545
13 41 459935
13 42 331114
13 43 305991
13 44 334617
13 45 338800
13 46 359982
13 47 366228
14 15 419537
14 16 396594
14 17 465225
14 18 350768
14 19 543623
14 20 208576
14 21 505043
14 22 570762
14 23 412923
14 24 430252
14 25 177328
14 26 417500
14 27 480339
14 28 317806
14 29 253743
14 30 375480
14 31 488112
14 32 413697
14 33 397889
14 34 515217
14 35 322187
14 36 480643
14 37 435236
14 38 299103
14 39 353951
14 40 236231
14 41 361660
14 42 623010
14 43 335178
14 44 460621
14 45 376176
14 46 339140
14 47 369573
15 16 159661
15 17 293743
15 18 68769
15 19 454515
15 20 210961
15 21 331340
15 22 645924
15 23 277770
15 24 273350
15 25 247543
15 26 180335
15 27 278629
15 28 182653
15 29 363366
15 30 240327
15 31 352959
15 32 226049
15 33 262736
15 34 172296
15 35 102684
15 36 311878
15 37 215733
15 38 209995
15 39 168089
15 40 238616
15 41 454336
15 42 348810
15 43 200025
15 44 178622
15 45 280491
15 46 203987
15 47 210233
16 17 315053
16 18 90892
16 19 476638
16 20 233084
16 21 368209
16 22 668047
16 23 299893
16 24 295473
16 25 298581
16 26 257957
16 27 300752
16 28 158103
16 29 400235
16 30 181033
16 31 293665
16 32 219250
16 33 247849
16 34 331957
16 35 262345
16 36 334001
16 37 375394
16 38 232118
16 39 323265
16 40 233639
16 41 294675
16 42 370933
16 43 140731
16 44 200745
16 45 207793
16 46 226110
16 47 232356
17 18 224974
17 19 381006
17 20 328839
17 21 245543
17 22 763802
17 23 433975
17 24 384563
17 25 287897
17 26 333449
17 27 15114
17 28 191694
17 29 450794
17 30 134020
17 31 166048
17 32 172237
17 33 200836
17 34 403416
17 35 224786
17 36 402470
17 37 292081
17 38 446804
17 39 183464
17 40 356494
17 41 509361
17 42 584014
17 43 250756
17 44 175230
17 45 244864
17 46 126085
17 47 366062
18 19 418836
18 20 142192
18 21 358734
18 22 577155
18 23 209001
18 24 342119
18 25 254362
18 26 248482
18 27 209860
18 28 113884
18 29 380712
18 30 171558
18 31 284190
18 32 209775
18 33 193967
18 34 241065
18 35 171453
18 36 243109
18 37 284502
18 38 278764
18 39 236858
18 40 169847
18 41 385567
18 42 417579
18 43 131256
18 44 109853
18 45 253997
18 46 135218
18 47 141464
19 20 431930
19 21 135463
19 22 604161
19 23 627837
19 24 590327
19 25 468091
19 26 286468
19 27 396120
19 28 440789
19 29 469499
19 30 383115
19 31 339108
19 32 441460
19 33 470059
19 34 350474
19 35 395131
19 36 490350
19 37 358859
19 38 244520
19 39 545475
19 40 459585
19 41 550206
19 42 473934
19 43 362941
19 44 308983
19 45 386624
19 46 306279
19 47 461876
20 21 296467
20 22 434963
20 23 351193
20 24 484311
20 25 360638
20 26 208924
20 27 343953
20 28 256076
20 29 391955
20 30 313750
20 31 399026
20 32 351967
20 33 237339
20 34 383257
20 35 313645
20 36 272067
20 37 426694
20 38 420956
20 39 145375
20 40 27655
20 41 289823
20 42 414434
20 43 273448
20 44 252045
20 45 167600
20 46 277410
20 47 283656
21 22 532220
21 23 544587
21 24 510545
21 25 385328
21 26 151005
21 27 260657
21 28 424342
21 29 334036
21 30 379563
21 31 411591
21 32 305997
21 33 334596
21 34 485937
21 35 259668
21 36 568534
21 37 223396
21 38 379983
21 39 410012
21 40 324122
21 41 509013
21 42 338471
21 43 227478
21 44 420773
21 45 251161
21 46 369940
21 47 374602
22 23 786156
22 24 493528
22 25 561900
22 26 483200
22 27 764810
22 28 691039
22 29 317019
22 30 744071
22 31 745361
22 32 655042
22 33 630208
22 34 578493
22 35 591863
22 36 707030
22 37 603545
22 38 760824
22 39 580338
22 40 462618
22 41 491996
22 42 650187
22 43 576523
22 44 604694
22 45 583356
22 46 702135
22 47 453743
23 24 551120
23 25 235595
23 26 457483
23 27 418861
23 28 322885
23 29 480476
23 30 380559
23 31 493191
23 32 418776
23 33 402968
23 34 450066
23 35 380454
23 36 452110
23 37 321191
23 38 487765
23 39 445859
23 40 378848
23 41 465972
23 42 626580
23 43 340257
23 44 318854
23 45 462998
23 46 344219
23 47 350465
24 25 384219
24 26 359540
24 27 399677
24 28 308217
24 29 176509
24 30 250543
24 31 363175
24 32 434344
24 33 282615
24 34 349436
24 35 376034
24 36 518993
24 37 489083
24 38 345807
24 39 413996
24 40 511966
24 41 317107
24 42 201694
24 43 389733
24 44 314434
24 45 459696
24 46 431723
24 47 378586
25 26 253522
25 27 303011
25 28 140478
25 29 244881
25 30 198152
25 31 310784
25 32 236369
25 33 220561
25 34 419839
25 35 144859
25 36 466602
25 37 257908
25 38 395588
25 39 227655
25 40 332983
25 41 230377
25 42 459679
25 43 157850
25 44 364215
25 45 280591
25 46 161812
25 47 192245
26 27 318335
26 28 314090
26 29 183031
26 30 371764
26 31 469269
26 32 195745
26 33 224344
26 34 352631
26 35 108663
26 36 480991
26 37 366005
26 38 375297
26 39 299760
26 40 220607
26 41 358008
26 42 462671
26 43 117226
26 44 358335
26 45 100156
26 46 218935
26 47 249939
27 28 206808
27 29 465908
27 30 149134
27 31 150934
27 32 187351
27 33 215950
27 34 418530
27 35 209672
27 36 417584
27 37 307195
27 38 461918
27 39 198578
27 40 371608
27 41 512599
27 42 599128
27 43 265870
27 44 160116
27 45 259978
27 46 141199
27 47 350948
28 29 385359
28 30 57674
28 31 170306
28 32 275383
28 33 89746
28 34 327070
28 35 285337
28 36 326124
28 37 266151
28 38 255110
28 39 350742
28 40 283731
28 41 317667
28 42 509911
28 43 196864
28 44 223737
28 45 284681
28 46 238854
28 47 255348
29 30 427052
29 31 539684
29 32 338023
29 33 366622
29 34 261474
29 35 291694
29 36 621869
29 37 427793
29 38 493463
29 39 267330
29 40 403638
29 41 174977
29 42 378203
29 43 259504
29 44 490565
29 45 283187
29 46 401966
29 47 239248
30 31 112632
30 32 299397
30 33 147420
30 34 269396
30 35 343011
30 36 268450
30 37 289081
30 38 312784
30 39 317484
30 40 341405
30 41 375341
30 42 452237
30 43 254538
30 44 281411
30 45 299959
30 46 181180
30 47 313022
31 32 338285
31 33 260052
31 34 382028
31 35 360606
31 36 381082
31 37 401713
31 38 425416
31 39 349512
31 40 371371
31 41 487973
31 42 558940
31 43 367170
31 44 311050
31 45 410912
31 46 292133
31 47 425654
32 33 185637
32 34 307613
32 35 304408
32 36 306667
32 37 170260
32 38 436044
32 39 260389
32 40 379622
32 41 466746
32 42 552821
32 43 78519
32 44 319628
32 45 295901
32 46 298322
32 47 224979
33 34 416816
33 35 333007
33 36 321143
33 37 355897
33 38 335193
33 39 289652
33 40 264994
33 41 407413
33 42 484309
33 43 107118
33 44 303820
33 45 194935
33 46 313714
33 47 254242
34 35 274980
34 36 484174
34 37 388029
34 38 382291
34 39 340385
34 40 410912
34 41 436451
34 42 424896
34 43 372321
34 44 350918
34 45 261756
34 46 376283
34 47 382529
35 36 414562
35 37 307505
35 38 266634
35 39 270773
35 40 329270
35 41 375236
35 42 451494
35 43 225889
35 44 281306
35 45 208819
35 46 306671
35 47 141276
36 37 476927
36 38 521873
36 39 417442
36 40 299722
36 41 446892
36 42 344617
36 43 374365
36 44 352962
36 45 439667
36 46 378327
36 47 384573
37 38 425728
37 39 383822
37 40 454349
37 41 488285
37 42 561867
37 43 248779
37 44 394355
37 45 466161
37 46 418166
37 47 188545
38 39 378084
38 40 448611
38 41 526793
38 42 421267
38 43 372849
38 44 388617
38 45 439911
38 46 413982
38 47 407910
39 40 173030
39 41 435198
39 42 489456
39 43 182534
39 44 346711
39 45 312975
39 46 309549
39 47 222022
40 41 317478
40 42 442089
40 43 301103
40 44 279700
40 45 195255
40 46 305065
40 47 311311
41 42 518801
41 43 388227
41 44 495420
41 45 457423
41 46 392189
41 47 399788
42 43 474302
42 44 516128
42 45 562827
42 46 552797
42 47 454046
43 44 241109
43 45 217382
43 46 266474
43 47 147124
44 45 363850
44 46 245071
44 47 251317
45 46 118779
45 47 350095
46 47 276682
Case #231: 300
1 2 393967
1 3 548982
1 4 750190
1 5 1048280
1 6 814270
1 7 1006612
1 8 887861
1 9 1309981
1 10 700292
1 11 1107590
1 12 29800
1 13 868148
1 14 722211
1 15 1001634
1 16 995578
1 17 613141
1 18 495783
1 19 1147940
1 20 358281
1 21 1141222
1 22 1170604
1 23 812669
1 24 483171
1 25 778287
2 3 715921
2 4 814527
2 5 908010
2 6 420303
2 7 612645
2 8 493894
2 9 916014
2 10 306325
2 11 713623
2 12 423767
2 13 725123
2 14 328244
2 15 607667
2 16 635143
2 17 315598
2 18 101816
2 19 753973
2 20 422618
2 21 780787
2 22 776637
2 23 452234
2 24 89204
2 25 384320
3 4 1211316
3 5 1587937
3 6 932592
3 7 606780
3 8 1209815
3 9 975447
3 10 1022246
3 11 1225912
3 12 519182
3 13 1417130
3 14 387677
3 15 1323588
3 16 446596
3 17 827887
3 18 614105
3 19 1469894
3 20 907263
3 21 592240
3 22 1492558
3 23 263687
3 24 805125
3 25 1030946
4 5 1081908
4 6 1234830
4 7 604536
4 8 1308421
4 9 1476707
4 10 1120852
4 11 1528150
4 12 779990
4 13 901776
4 14 888937
4 15 1422194
4 16 919554
4 17 1130125
4 18 916343
4 19 1568500
4 20 391909
4 21 800980
4 22 1591164
4 23 1012927
4 24 903731
4 25 1198847
5 6 655345
5 7 1484661
5 8 789254
5 9 796047
5 10 601685
5 11 1285631
5 12 1078080
5 13 1020483
5 14 1200260
5 15 1337269
5 16 1507159
5 17 1187614
5 18 973832
5 19 1483575
5 20 689999
5 21 1199947
5 22 1071997
5 23 1324250
5 24 818806
5 25 753699
6 7 829316
6 8 798160
6 9 1132685
6 10 610591
6 11 630286
6 12 844070
6 13 1029389
6 14 544915
6 15 864325
6 16 851814
6 17 532269
6 18 318487
6 19 1058239
6 20 842921
6 21 544602
6 22 1080903
6 23 668905
6 24 393470
6 25 98354
7 8 1106539
7 9 872171
7 10 918970
7 11 1122636
7 12 1036412
7 13 1337768
7 14 284401
7 15 1220312
7 16 315018
7 17 724611
7 18 510829
7 19 1366618
7 20 996445
7 21 736944
7 22 1389282
7 23 408391
7 24 701849
7 25 927670
8 9 1409908
8 10 187569
8 11 1029109
8 12 917661
8 13 606367
8 14 822138
8 15 923153
8 16 1129037
8 17 809492
8 18 595710
8 19 1069459
8 20 916512
8 21 1274681
8 22 657881
8 23 946128
8 24 404690
8 25 699806
9 10 1222339
9 11 1426005
9 12 1339781
9 13 1641137
9 14 587770
9 15 1523681
9 16 894669
9 17 1027980
9 18 814198
9 19 1669987
9 20 1338632
9 21 1040313
9 22 1692651
9 23 711760
9 24 1005218
9 25 1231039
10 11 841540
10 12 730092
10 13 418798
10 14 634569
10 15 735584
10 16 941468
10 17 621923
10 18 408141
10 19 881890
10 20 728943
10 21 1087112
10 22 470312
10 23 758559
10 24 217121
10 25 512237
11 12 1137390
11 13 1260338
11 14 838235
11 15 1142882
11 16 1145134
11 17 825589
11 18 611807
11 19 1289188
11 20 1136241
11 21 1174888
11 22 1311852
11 23 962225
11 24 624419
11 25 594303
12 13 897948
12 14 752011
12 15 1031434
12 16 965778
12 17 583341
12 18 525583
12 19 1177740
12 20 388081
12 21 1111422
12 22 1200404
12 23 782869
12 24 512971
12 25 808087
13 14 1053367
13 15 1154382
13 16 1360266
13 17 1040721
13 18 826939
13 19 841222
13 20 509867
13 21 1505910
13 22 889110
13 23 1177357
13 24 635919
13 25 931035
14 15 935911
14 16 306899
14 17 440210
14 18 226428
14 19 1082217
14 20 750862
14 21 452543
14 22 1104881
14 23 123990
14 24 417448
14 25 643269
15 16 1242810
15 17 923265
15 18 709483
15 19 1183232
15 20 1030285
15 21 1388454
15 22 1205896
15 23 1059901
15 24 518463
15 25 765971
16 17 747109
16 18 533327
16 19 1389116
16 20 1057761
16 21 511462
16 22 1411780
16 23 182909
16 24 724347
16 25 950168
17 18 213782
17 19 1069571
17 20 738216
17 21 892753
17 22 1092235
17 23 564200
17 24 404802
17 25 630623
18 19 855789
18 20 524434
18 21 678971
18 22 878453
18 23 350418
18 24 191020
18 25 416841
19 20 1176591
19 21 878272
19 22 1352202
19 23 1206207
19 24 664769
19 25 959885
20 21 1192889
20 22 1199255
20 23 874852
20 24 511822
20 25 806938
21 22 1557424
21 23 328553
21 24 869991
21 25 642956
22 23 1228871
22 24 687433
22 25 982549
23 24 541438
23 25 767259
24 25 295116
Case #232: 636
1 2 2628997
1 3 3240808
1 7 2333716
1 10 3491400
1 11 847594
1 12 4317644
1 14 2446868
1 15 2827724
1 17 3855770
1 18 1358186
1 19 3761219
1 20 1774019
1 21 2096580
1 23 2715567
1 24 2700402
1 25 2450220
1 26 1155435
1 27 2881573
1 29 2709230
1 30 3450227
1 31 3822031
1 32 3028300
1 33 1512741
1 35 3428846
1 36 2603024
1 38 2630284
1 40 3161564
1 42 2668737
1 44 2809540
1 45 2507484
1 46 1965759
1 47 1562393
1 48 3025911
1 49 2734177
1 50 2152867
2 3 1489075
2 7 581983
2 10 1739667
2 11 1781403
2 12 4958561
2 14 882705
2 15 1263561
2 17 1226773
2 18 1270811
2 19 1276114
2 20 854978
2 21 532417
2 23 963834
2 24 215297
2 25 178777
2 26 1473562
2 27 3096431
2 29 1840638
2 30 965122
2 31 4462948
2 32 3669217
2 33 2446550
2 35 4069763
2 36 1734432
2 38 1761692
2 40 532567
2 42 1104574
2 44 3450457
2 45 1638892
2 46 2180617
2 47 2496202
2 48 540806
2 49 2212474
2 50 2793784
3 7 907092
3 10 2064776
3 11 2393214
3 12 3940118
3 14 2139638
3 15 2380532
3 17 2715848
3 18 1882622
3 19 2334595
3 20 1466789
3 21 1789350
3 23 1288943
3 24 1273778
3 25 1667852
3 26 2085373
3 27 2290400
3 29 631115
3 30 2023603
3 31 3444505
3 32 2650774
3 33 2476512
3 35 3051320
3 36 737321
3 38 743249
3 40 2021642
3 42 1367179
3 44 2432014
3 45 832861
3 46 1374586
3 47 1777952
3 48 1599287
3 49 1194031
3 50 1775341
4 6 277045
4 41 658995
6 41 381950
7 10 1157684
7 11 1486122
7 12 4517080
7 14 1232546
7 15 1473440
7 17 1808756
7 18 975530
7 19 1427503
7 20 559697
7 21 882258
7 23 381851
7 24 366686
7 25 760760
7 26 1178281
7 27 2654950
7 29 1399157
7 30 1116511
7 31 4021467
7 32 3227736
7 33 2151269
7 35 3628282
7 36 1292951
7 38 1320211
7 40 1114550
7 42 663093
7 44 3008976
7 45 1197411
7 46 1739136
7 47 2142502
7 48 692195
7 49 1770993
7 50 2352303
9 37 267632
9 43 512224
10 11 2643806
10 12 3627321
10 14 2390230
10 15 2631124
10 17 2966440
10 18 2133214
10 19 2585187
10 20 1717381
10 21 2039942
10 23 775833
10 24 1524370
10 25 1918444
10 26 2335965
10 27 2271420
10 29 1444150
10 30 2274195
10 31 3131708
10 32 2337977
10 33 2751578
10 35 2738523
10 36 1550356
10 38 1332016
10 40 2272234
10 42 1820777
10 44 2119217
10 45 1454816
10 46 1996541
10 47 2053018
10 48 1849879
10 49 881234
10 50 1462544
11 12 3470050
11 14 1599274
11 15 1980130
11 17 3008176
11 18 510592
11 19 2913625
11 20 926425
11 21 1248986
11 23 1867973
11 24 1852808
11 25 1602626
11 26 307841
11 27 2033979
11 29 1861636
11 30 2602633
11 31 2974437
11 32 2180706
11 33 665147
11 35 2581252
11 36 1755430
11 38 1782690
11 40 2313970
11 42 1821143
11 44 1961946
11 45 1659890
11 46 1118165
11 47 714799
11 48 2178317
11 49 1886583
11 50 1305273
12 14 4776432
12 15 5157288
12 17 6185334
12 18 3980642
12 19 5944583
12 20 4396475
12 21 4426144
12 23 4403154
12 24 4883766
12 25 4779784
12 26 3777891
12 27 2973653
12 29 3309003
12 30 5633591
12 31 1281983
12 32 3040210
12 33 3453811
12 35 888798
12 36 3415209
12 38 3196869
12 40 5491128
12 42 3853987
12 44 1508104
12 45 3319669
12 46 2849923
12 47 2755251
12 48 5209275
12 49 2746087
12 50 2164777
14 15 380856
14 17 2109478
14 18 1088682
14 19 1897409
14 20 672849
14 21 350288
14 23 1614397
14 24 1098002
14 25 703928
14 26 1291433
14 27 2914302
14 29 1658509
14 30 1586417
14 31 4280819
14 32 3487088
14 33 2264421
14 35 3887634
14 36 1552303
14 38 1579563
14 40 1415272
14 42 922445
14 44 3268328
14 45 1456763
14 46 1998488
14 47 2314073
14 48 1162101
14 49 2030345
14 50 2611655
15 17 2490334
15 18 1469538
15 19 1516553
15 20 1053705
15 21 731144
15 23 1855291
15 24 1106754
15 25 1084784
15 26 1672289
15 27 3295158
15 29 2039365
15 30 1205561
15 31 4661675
15 32 3867944
15 33 2645277
15 35 4268490
15 36 1933159
15 38 1960419
15 40 1796128
15 42 1303301
15 44 3649184
15 45 1837619
15 46 2379344
15 47 2694929
15 48 781245
15 49 2411201
15 50 2992511
17 18 2497584
17 19 2502887
17 20 2081751
17 21 1759190
17 23 2190607
17 24 1442070
17 25 1405550
17 26 2700335
17 27 4323204
17 29 3067411
17 30 2191895
17 31 5689721
17 32 4895990
17 33 3673323
17 35 5296536
17 36 2961205
17 38 2988465
17 40 694206
17 42 2331347
17 44 4677230
17 45 2865665
17 46 3407390
17 47 3722975
17 48 1767579
17 49 3439247
17 50 4020557
18 19 2403033
18 20 415833
18 21 738394
18 23 1357381
18 24 1342216
18 25 1092034
18 26 202751
18 27 2544571
18 29 2046615
18 30 2092041
18 31 3485029
18 32 2691298
18 33 1175739
18 35 3091844
18 36 1940409
18 38 1967669
18 40 1803378
18 42 1310551
18 44 2472538
18 45 1844869
18 46 1628757
18 47 1225391
18 48 1667725
18 49 2397175
18 50 1815865
19 20 1987200
19 21 1808531
19 23 1809354
19 24 1060817
19 25 1454891
19 26 2605784
19 27 4082453
19 29 2826660
19 30 1159624
19 31 5448970
19 32 4655239
19 33 3578772
19 35 5055785
19 36 2720454
19 38 2747714
19 40 1808681
19 42 2090596
19 44 4436479
19 45 2624914
19 46 3166639
19 47 3570005
19 48 735308
19 49 3198496
19 50 3779806
20 21 322561
20 23 941548
20 24 926383
20 25 676201
20 26 618584
20 27 2886575
20 29 1630782
20 30 1676208
20 31 3900862
20 32 3107131
20 33 1591572
20 35 3507677
20 36 1524576
20 38 1551836
20 40 1387545
20 42 894718
20 44 2888371
20 45 1429036
20 46 1970761
20 47 1641224
20 48 1251892
20 49 2002618
20 50 2231698
21 23 1264109
21 24 747714
21 25 353640
21 26 941145
21 27 2564014
21 29 1308221
21 30 1497539
21 31 3930531
21 32 3136800
21 33 1914133
21 35 3537346
21 36 1202015
21 38 1229275
21 40 1064984
21 42 572157
21 44 2918040
21 45 1106475
21 46 1648200
21 47 1963785
21 48 1073223
21 49 1680057
21 50 2261367
23 24 748537
23 25 1142611
23 26 1560132
23 27 3036801
23 29 1781008
23 30 1498362
23 31 3907541
23 32 3113810
23 33 2533120
23 35 3514356
23 36 1674802
23 38 1702062
23 40 1496401
23 42 1044944
23 44 2895050
23 45 1579262
23 46 2120987
23 47 2524353
23 48 1074046
23 49 1657067
23 50 2238377
24 25 394074
24 26 1544967
24 27 3021636
24 29 1765843
24 30 749825
24 31 4388153
24 32 3594422
24 33 2517955
24 35 3994968
24 36 1659637
24 38 1686897
24 40 747864
24 42 1029779
24 44 3375662
24 45 1564097
24 46 2105822
24 47 2509188
24 48 325509
24 49 2137679
24 50 2718989
25 26 1294785
25 27 2917654
25 29 1661861
25 30 1143899
25 31 4284171
25 32 3490440
25 33 2267773
25 35 3890986
25 36 1555655
25 38 1582915
25 40 711344
25 42 925797
25 44 3271680
25 45 1460115
25 46 2001840
25 47 2317425
25 48 719583
25 49 2033697
25 50 2615007
26 27 2341820
26 29 2169477
26 30 2294792
26 31 3282278
26 32 2488547
26 33 972988
26 35 2889093
26 36 2063271
26 38 2090531
26 40 2006129
26 42 1513302
26 44 2269787
26 45 1967731
26 46 1426006
26 47 1022640
26 48 1870476
26 49 2194424
26 50 1613114
27 29 1659285
27 30 3771461
27 31 2478040
27 32 1684309
27 33 2017740
27 35 2084855
27 36 1553079
27 38 1580339
27 40 3628998
27 42 1991857
27 44 1465549
27 45 1457539
27 46 915814
27 47 1319180
27 48 3347145
27 49 1390186
27 50 808876
29 30 2515668
29 31 2813390
29 32 2019659
29 33 1845397
29 35 2420205
29 36 106206
29 38 112134
29 40 2373205
29 42 736064
29 44 1800899
29 45 201746
29 46 743471
29 47 1146837
29 48 2091352
29 49 562916
29 50 1144226
30 31 5137978
30 32 4344247
30 33 3267780
30 35 4744793
30 36 2409462
30 38 2436722
30 40 1497689
30 42 1779604
30 44 4125487
30 45 2313922
30 46 2855647
30 47 3259013
30 48 424316
30 49 2887504
30 50 3468814
31 32 2544597
31 33 2958198
31 35 393185
31 36 2919596
31 38 2701256
31 40 4995515
31 42 3358374
31 44 1012491
31 45 2824056
31 46 2354310
31 47 2259638
31 48 4713662
31 49 2250474
31 50 1669164
32 33 2164467
32 35 2151412
32 36 2125865
32 38 1907525
32 40 4201784
32 42 2564643
32 44 1532106
32 45 2030325
32 46 1560579
32 47 1465907
32 48 3919931
32 49 1456743
32 50 875433
33 35 2565013
33 36 1739191
33 38 1766451
33 40 2979117
33 42 2177969
33 44 1945707
33 45 1643651
33 46 1101926
33 47 698560
33 48 2843464
33 49 1870344
33 50 1289034
35 36 2526411
35 38 2308071
35 40 4602330
35 42 2965189
35 44 619306
35 45 2430871
35 46 1961125
35 47 1866453
35 48 4320477
35 49 1857289
35 50 1275979
36 38 218340
36 40 2266999
36 42 629858
36 44 1907105
36 45 95540
36 46 637265
36 47 1040631
36 48 1985146
36 49 669122
36 50 1250432
37 43 779856
38 40 2294259
38 42 657118
38 44 1688765
38 45 122800
38 46 664525
38 47 1067891
38 48 2012406
38 49 450782
38 50 1032092
40 42 1637141
40 44 3983024
40 45 2171459
40 46 2713184
40 47 3028769
40 48 1073373
40 49 2745041
40 50 3326351
42 44 2345883
42 45 534318
42 46 1076043
42 47 1479409
42 48 1355288
42 49 1107900
42 50 1689210
44 45 1811565
44 46 1341819
44 47 1247147
44 48 3701171
44 49 1237983
44 50 656673
45 46 541725
45 47 945091
45 48 1889606
45 49 573582
45 50 1154892
46 47 403366
46 48 2431331
46 49 1115307
46 50 685146
47 48 2834697
47 49 1171784
47 50 590474
48 49 2463188
48 50 3044498
49 50 581310
Case #233: 21
1 2 34
1 3 12
1 5 11
1 6 18
1 7 6
1 8 8
2 3 34
2 5 31
2 6 16
2 7 28
2 8 42
3 5 9
3 6 18
3 7 6
3 8 20
5 6 15
5 7 15
5 8 19
6 7 12
6 8 26
7 8 14
Case #234: 153
1 2 107323
1 3 150895
1 4 190477
1 5 309710
1 6 112756
1 7 52513
1 8 59042
1 9 209648
1 10 89181
1 11 88912
1 12 114478
1 13 95404
1 14 165293
1 15 1364
1 16 148360
1 17 170244
1 18 382190
2 3 258218
2 4 295072
2 5 417033
2 6 217351
2 7 157108
2 8 166365
2 9 314243
2 10 193776
2 11 176118
2 12 219073
2 13 199999
2 14 269888
2 15 105959
2 16 235566
2 17 257450
2 18 489513
3 4 318080
3 5 460605
3 6 263651
3 7 180116
3 8 209937
3 9 216934
3 10 240076
3 11 239807
3 12 242081
3 13 246299
3 14 316188
3 15 152259
3 16 209450
3 17 321139
3 18 421743
4 5 500187
4 6 300505
4 7 137964
4 8 249519
4 9 342080
4 10 279658
4 11 267169
4 12 199929
4 13 227836
4 14 297725
4 15 189113
4 16 326617
4 17 348501
4 18 537352
5 6 422466
5 7 362223
5 8 368752
5 9 519358
5 10 398891
5 11 398622
5 12 424188
5 13 391533
5 14 461422
5 15 311074
5 16 458070
5 17 426231
5 18 72480
6 7 162541
6 8 171798
6 9 322404
6 10 201937
6 11 198940
6 12 224506
6 13 208160
6 14 278049
6 15 111392
6 16 258388
6 17 280272
6 18 494946
7 8 111555
7 9 204116
7 10 141694
7 11 129205
7 12 61965
7 13 89872
7 14 159761
7 15 51149
7 16 188653
7 17 210537
7 18 408925
8 9 268690
8 10 148223
8 11 147954
8 12 173520
8 13 154446
8 14 224335
8 15 60406
8 16 207402
8 17 229286
8 18 441232
9 10 120467
9 11 247530
9 12 266081
9 13 254022
9 14 184133
9 15 211012
9 16 306978
9 17 328862
9 18 573075
10 11 178093
10 12 203659
10 13 184585
10 14 254474
10 15 90545
10 16 186511
10 17 208395
10 18 471371
11 12 67240
11 13 133286
11 14 203175
